id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
49421941,The Ridings home away from home.,398621577,Broghan,,Hartcliffe & Withywood,51.40616,-2.63287,Entire home/apt,123,1,3,2021-07-03,1.27,1,346
49441603,City centre terraced house,21484666,Sarah,,Southville,51.44433,-2.60088,Entire home/apt,150,4,1,2021-06-06,0.73,1,13
49461172,Swane house,202169749,Rowena,,Stockwood,51.41379,-2.53577,Entire home/apt,86,14,1,2021-06-26,1,5,288
49558173,Delightful 2 bedroom family home in Bristol!,399794315,James,,Windmill Hill,51.4364,-2.59198,Entire home/apt,120,1,5,2021-07-04,2.42,1,23
49578082,Brand New House in Frenchay - 10 mins from Centre,32186965,Louise,,Frome Vale,51.49732,-2.52683,Entire home/apt,181,1,3,2021-07-03,1.88,1,27
49586111,Stunning Bristol Abode - Balcony,152788806,Pass The Property,,Central,51.45141,-2.58842,Entire home/apt,172,2,4,2021-06-20,2.03,10,145
49653145,"The Garden House, Windmill Hill, Bristol",223392130,Sophie,,Windmill Hill,51.43566,-2.59643,Entire home/apt,55,2,11,2021-07-16,8.05,1,21
49661346,Stylish double room in central Bristol,122696129,Tamsin,,Clifton Down,51.46263,-2.60382,Private room,70,2,3,2021-07-12,3,2,199
49670665,Cosy City Apartment-Decked Garden with Great View,63124440,James,,Brislington West,51.4478,-2.55013,Entire home/apt,44,2,5,2021-07-11,5,1,25
49688645,Lovely 2 bedroom town house including breakfast,14505869,Sheilagh,,Horfield,51.49552,-2.58519,Entire home/apt,71,1,1,2021-05-23,0.55,2,87
49701983,Light & Leafy flat in the centre of Bristol,400863556,Luke,,Ashley,51.4647,-2.57691,Entire home/apt,84,2,4,2021-07-02,2.18,1,133
49706827,Sabrina’s Studio lll Ángelo B&B,293213291,Sabrina Miryam,,Knowle,51.43432,-2.56087,Private room,59,1,0,,,1,59
49718090,PENTHOUSE FLAT in St. Paul’s Graffiti Central,90733634,Paul,,Ashley,51.46378,-2.58578,Entire home/apt,170,2,6,2021-07-11,3.83,3,338
49719617,Sleeps 16! Near Bristol City Centre - with garden.,236481623,Mairead,,Ashley,51.4671,-2.57716,Entire home/apt,714,2,0,,,16,228
49730547,"5/36 comfortable room in a shared flat, Clifton",275250241,Renan,,Clifton,51.457,-2.6109,Private room,40,1,4,2021-06-22,2.14,8,284
49730978,The Exquisite Gem of Clifton,152788806,Pass The Property,,Clifton,51.45526,-2.61846,Entire home/apt,185,2,2,2021-07-02,2,10,150
49734076,Historic Portland square apartment with terrace,210736546,Shaun,,Ashley,51.46006,-2.5858,Entire home/apt,126,3,3,2021-06-21,2.00,1,121
49746332,"- 9 Bedrooms, City Centre  with Parking",396199459,Donny Thomas,,Ashley,51.461563,-2.585281,Entire home/apt,864,2,0,,,8,276
49756361,Private Room close to Bristol City Centre,40148347,Lev,,Lawrence Hill,51.45752,-2.56801,Private room,58,1,9,2021-07-04,5.63,1,57
49766445,Victorian Town House close to Gloucester Rd,284304740,Peter,,Redland,51.47895,-2.59503,Entire home/apt,75,2,2,2021-07-04,1.28,1,3
49784860,Smart Central Flat with FREE PARKING (F2),396199459,Donny Thomas,,Ashley,51.461563,-2.585281,Entire home/apt,154,2,2,2021-07-12,2,8,167
